Date,VTI,VXUS,BND,SPY,DJI,LTT,TLT,UPRO,TMF,SSO,UBT,CASH
1970-05-19,,,,,-0.01623482875883947,,,,,,,0
1970-05-20,,,,,-0.021478160254556008,,,,,,,0
1970-05-21,,,,,-0.016702387111078198,,,,,,,0
1970-05-22,,,,,-0.004629838406614116,,,,,,,0
1970-05-25,,,,,-0.031426974946010766,,,,,,,0
1970-05-26,,,,,-0.01590370462766628,,,,,,,0
1970-05-27,,,,,0.05076367323658039,,,,,,,0
1970-05-28,,,,,0.031589264173703155,,,,,,,0
1970-05-29,,,,,0.023810567857926006,,,,,,,0
1970-06-01,,,,,0.014162526411969559,,,,,,,0
1970-06-02,,,,,-0.0010558026915929951,,,,,,,0
1970-06-03,,,,,0.005989205338143487,,,,,,,0
1970-06-04,,,,,-0.0102681197994005,,,,,,,0
1970-06-05,,,,,-0.016276732764355373,,,,,,,0
1970-06-08,,,,,0.0074816914377797295,,,,,,,0
1970-06-09,,,,,-9.99671536495866e-05,,,,,,,0
1970-06-10,,,,,-0.00829810329067634,,,,,,,0
1970-06-11,,,,,-0.014301144955714069,,,,,,,0
1970-06-12,,,,,-0.0003068291400016404,,,,,,,0
1970-06-15,,,,,0.004603849695268963,,,,,,,0
1970-06-16,,,,,0.027496508379888235,,,,,,,0
1970-06-17,,,,,-0.002237136465324443,,,,,,,0
1970-06-18,,,,,0.01136686155418077,,,,,,,0
1970-06-19,,,,,0.010860261824916716,,,,,,,0
1970-06-22,,,,,-0.005996418805435555,,,,,,,0
1970-06-23,,,,,-0.025135803158732595,,,,,,,0
1970-06-24,,,,,-0.008336795060950352,,,,,,,0
1970-06-25,,,,,0.00187782576665858,,,,,,,0
1970-06-26,,,,,-0.008290200262402861,,,,,,,0
1970-06-29,,,,,-0.00716736450337297,,,,,,,0
1970-06-30,,,,,0.0009078795156023555,,,,,,,0
1970-07-01,,,,,0.006012903603353202,,,,,,,0
1970-07-02,,,,,0.002181373974754232,,,,,,,0
1970-07-06,,,,,-0.019560611776997444,,,,,,,0
1970-07-07,,,,,-0.0093242163218186,,,,,,,0
1970-07-08,,,,,0.019018166606908117,,,,,,,0
1970-07-09,,,,,0.01565775777390073,,,,,,,0
1970-07-10,,,,,0.010580712213288742,,,,,,,0
1970-07-13,,,,,0.0030281388373089623,,,,,,,0
1970-07-14,,,,,0.0011677252143202077,,,,,,,0
1970-07-15,,,,,0.012261037778789265,,,,,,,0
1970-07-16,,,,,0.01655284827024153,,,,,,,0
1970-07-17,,,,,0.016089793210217827,,,,,,,0
1970-07-20,,,,,-0.0015916634924090884,,,,,,,0
1970-07-21,,,,,-0.016132768323091275,,,,,,,0
1970-07-22,,,,,0.0036007589291895646,,,,,,,0
1970-07-23,,,,,0.011053307022506785,,,,,,,0
1970-07-24,,,,,-0.003357536714527383,,,,,,,0
1970-07-27,,,,,-0.00019172304237077367,,,,,,,0
1970-07-28,,,,,0.001876506684198998,,,,,,,0
1970-07-29,,,,,0.00561897600656217,,,,,,,0
1970-07-30,,,,,-0.0011283919734622972,,,,,,,0
1970-07-31,,,,,-0.0008302369577940381,,,,,,,0
1970-08-03,,,,,-0.015201874352966775,,,,,,,0
1970-08-04,,,,,0.004066615027110685,,,,,,,0
1970-08-05,,,,,-0.0015015842402535224,,,,,,,0
1970-08-06,,,,,-0.00274554710889736,,,,,,,0
1970-08-07,,,,,0.003984394455051043,,,,,,,0
1970-08-10,,,,,-0.01623260300399626,,,,,,,0
1970-08-11,,,,,-0.00191898251904976,,,,,,,0
1970-08-12,,,,,-0.0026805136481649968,,,,,,,0
1970-08-13,,,,,-0.004629629629629578,,,,,,,0
1970-08-14,,,,,0.0049339082490987615,,,,,,,0
1970-08-17,,,,,-0.0025040796803782656,,,,,,,0
1970-08-18,,,,,0.010718415930950869,,,,,,,0
1970-08-19,,,,,0.010228002120950019,,,,,,,0
1970-08-20,,,,,0.007748725811130007,,,,,,,0
1970-08-21,,,,,0.021669407894736765,,,,,,,0
1970-08-24,,,,,0.01900967252921221,,,,,,,0
1970-08-25,,,,,-0.00080307538376473,,,,,,,0
1970-08-26,,,,,0.0019763627020830863,,,,,,,0
1970-08-27,,,,,-0.0008941838599814111,,,,,,,0
1970-08-28,,,,,0.007923241948433097,,,,,,,0
1970-08-31,,,,,-0.001606142515767494,,,,,,,0
1970-09-01,,,,,-0.008409845928483695,,,,,,,0
1970-09-02,,,,,-0.0019916902987535327,,,,,,,0
1970-09-03,,,,,0.011405688306195807,,,,,,,0
1970-09-04,,,,,0.007683562664157742,,,,,,,0
1970-09-08,,,,,0.0025805614990598576,,,,,,,0
1970-09-09,,,,,-0.008678893861396432,,,,,,,0
1970-09-10,,,,,-0.007410983390524837,,,,,,,0
1970-09-11,,,,,0.0014327965823201208,,,,,,,0
1970-09-14,,,,,-0.006195526619762716,,,,,,,0
1970-09-15,,,,,-0.008677620456466676,,,,,,,0
1970-09-16,,,,,0.005009659582972475,,,,,,,0
1970-09-17,,,,,0.004454402036298092,,,,,,,0
1970-09-18,,,,,0.0010822653661885122,,,,,,,0
1970-09-21,,,,,-0.008661946762646904,,,,,,,0
1970-09-22,,,,,-0.005918182785402612,,,,,,,0
